,企業名,キャッチコピー,ステータス,初年度年収
0,神明株式会社 | #残業月平均20h以下 #賞与年2回 #土日休 #資格取得支援制度有り,新築・リフォーム施工の【営業積算】建設・不動産業界経験者歓迎 正社員,正社員,400万円～560万円
1,株式会社貴順 | ★未経験歓迎★週・日払いも可★男女活躍中★契約祝金3万円あり,【軽ドライバー】都会で稼ぐ！年収1000万円可能★支度金＆寮制度 業務委託,業務委託,100万円～1000万円
2,株式会社AZism | 【横浜家系ラーメン 大和家／田田】業績好調★転居伴う転勤無し,【店舗スタッフ】月給26万円以上◆引越手当あり！上京希望者も◎ 正社員,正社員,320万円～420万円
3,株式会社コプロ・エンジニアード | 東証・名証一部上場コプロホールディングスのグループ,年収1000万円も叶う働き方を【建築・土木施工管理】★経験者採用 正社員,正社員,520万円～940万円
4,株式会社ビッグモーター | 年収800万円も可能★月8～10日休み★面接1回★住宅手当など充実,【クルマの修復スタッフ(鈑金・塗装)】☆未経験・無資格歓迎！ 正社員,正社員,300万円～1000万円
5,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】,【製造スタッフ】未経験から高収入！★月収最大42万円も可能 正社員,正社員,300万円～500万円
6,大同生命保険株式会社 | ★業界経験一切不問 ★有給取得実績多数 ★転勤なし ★土日休み,基本17時退社★平均月給42.9万円【法人営業】※社会人経験者限定 正社員,正社員,
7,株式会社ガリレオコーポレーション | ☆★完全週休2日制&年間休日117日で、プライベートも充実★☆,"シッカリ稼ごう！年収1,000万円もめざせる【営業】※年齢不問 正社員",正社員,500万円～2000万円
8,"フジイハウス産業株式会社 | 【""三菱地所""や""住友不動産""と取引】大阪府緊急雇用対策に賛同",★高収入が目指せる★【設備管理】残業20h以内／月給25万円以上 正社員,正社員,300万円～700万円
9,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,35歳以下★ソフトバンクの【法人営業】学歴不問★未経験OK 正社員,正社員,
10,株式会社サーバントップ | ★直行直帰OK★インセン賞与年2回｜大阪府緊急雇用対策に賛同,既存顧客への【営業】※未経験でも成約率80％＋月給35万円保証 正社員,正社員,500万円～950万円
11,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,【資材管理スタッフ】★月収42万円も可能＆そこそこ休める環境！ 正社員,正社員,300万円～500万円
12,UTエイム株式会社 | 【超スピード選考】最短当日面談＆当日採用(規定有)！,【サポートスタッフ(データ管理・部品手配等)】★未経験歓迎 正社員,正社員,300万円～500万円
13,リベル株式会社 | ★急成長中の不動産ベンチャー ★面接1回 ★高率インセンティブ,【不動産営業】★未経験歓迎 ★残業少なめ ★20代中心に活躍中 正社員,正社員,300万円～1000万円
14,株式会社九州エネコ | 《年収例／3年目 880万円／3年目 738万円／6年目 1421万円》,★年休120日以上/完休2日制/転勤なし/社員寮あり★【企画営業】 正社員,正社員,400万円～750万円
15,株式会社グランド1コーポレーション | 入社1年目で年収700万円可／残業ほぼなし／月給25万円～,20代で営業部を引っ張るリーダー職へ！【営業】年収1000万円可能 正社員,正社員,500万円～800万円
16,株式会社ハマエンジニアリング | 【TV＆WEBCM絶賛放映中】賞与年3回★20代で年収450万円超えも可,＼大分・長崎限定採用／ 【半導体メンテスタッフ】※交代勤務 正社員,正社員,280万円～400万円
17,UTエイム株式会社 | 【東証一部上場グループ】フリーターもOK！大切なのはこれから♪,月収42万円以上可能！【清掃・洗浄スタッフ】学歴一切不問☆ 正社員,正社員,300万円～500万円
18,株式会社センス | ★広島・福岡支店の採用強化！地元でしっかり稼ぎたい方を歓迎★,【営業系総合職】◎3年連続全国No.1の実績◎週休3日もOK◎ 正社員,正社員,350万円～800万円
19,株式会社アール・エム | 大阪府緊急雇用対策に賛同｜完全週休2日制・年間休日120日以上,【提案営業】あこがれのWEB業界でクリエイティブな提案を！ 正社員,正社員,400万円～700万円
20,株式会社サンテック | 【圧倒的安定感】業界大手×インフラ事業／コロナ禍でも業績好調,割り振られた案件をこなして月収50万円超【家電修理スタッフ】 業務委託,業務委託,
21,株式会社ソヴリックコーポレーション | 【大阪府緊急雇用対策に賛同】＃未経験＃高収入＃有給取得100％,未経験からはじめる【不動産営業】月給30万円以上・年休120日 正社員,正社員,550万円～1500万円
22,日研トータルソーシング株式会社 | 【大阪府緊急雇用対策に賛同】◆年休最大160日◆残業ほぼなし,好きな街で働ける！【軽作業スタッフ】賞与2回※地域限定正社員 正社員,正社員,
23,株式会社エー・エス・エル | 《東証一部上場企業グループ》コロナ禍でも過去最高益レベル！,【ITエンジニア(開発/インフラ) 】★年休123日＆残業月15h程度★ 正社員,正社員,400万円～800万円
